player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Peyton Hendershot,2867545,16000,TE,DAL,10,28.2,7,465
Hunter Long,2867428,15334,TE,LAR,10,24.1,6,615
Grant Calcaterra,2804129,15804,TE,PHI,10,28.7,5,504.5
Will Mallory,2962073,,TE,IND,10,27.6,14,393
Drew Sample,2139646,14146,TE,CIN,10,29,12,553
Eric Saubert,2001018,13315,TE,SF,10,25.9,9,732
Travis Vokolek,2870478,,TE,ARI,10,27.2,11,514
Tanner Hudson,2926606,14370,TE,CIN,10,30.4,12,374
John FitzPatrick,2975736,15925,TE,ATL,10,27.8,12,493
Tip Reiman,3169268,,TE,ARI,10,27.2,11,527
Cole Fotheringham,2240503,,TE,LV,10,26,10,650
Younghoe Koo,2820093,13403,K,ATL,171,171,12,143
Harrison Butker,2078888,13354,K,KC,151,151,6,120.8
Justin Tucker,1985374,10976,K,BAL,147,147,14,110.4
Jason Myers,2169640,12437,K,SEA,147,147,10,213.4
Jake Elliott,2080295,13303,K,PHI,146,146,5,145
Brandon Aubrey,2815718,,K,DAL,145,145,7,115
Ka'imi Fairbairn,1996562,12860,K,HOU,145,145,14,154.8
Blake Grupe,2876348,,K,NO,142,142,12,231.3
Evan McPherson,2962681,15368,K,CIN,139,139,12,160.4
Jason Sanders,2131909,13832,K,MIA,138,138,6,192
Cameron Dicker,2961997,15979,K,LAC,138,138,5,183.2
Matt Gay,2870511,14244,K,IND,137,137,14,198
Tyler Bass,2188356,14983,K,BUF,136,136,12,186.8
Jake Moody,2968527,,K,SF,136,136,9,167.6
Cam Little,26702477,,K,JAC,135,135,12,265
Greg Zuerlein,1971893,10868,K,NYJ,135,135,12,183.3
Cairo Santos,2132690,11945,K,CHI,133,133,7,207.3
Chase McLaughlin,2165272,14717,K,TB,131,131,11,263
Dustin Hopkins,1664151,11387,K,CLE,130,130,10,168
Joshua Karty,3163734,,K,LAR,130,130,6,266.3
Matt Prater,1109832,8930,K,ARI,125,125,11,228.5
Jake Bates,3173439,,K,DET,122,122,5,203
Wil Lutz,2008545,12956,K,DEN,120,120,14,254
Chris Boswell,1724930,11936,K,PIT,114,114,9,186.5
Will Reichard,3121084,,K,MIN,111,111,6,229
Daniel Carlson,2079862,13718,K,LV,110,110,10,196.3
Nick Folk,410721,8851,K,TEN,106,106,5,252.5
Eddy Pineiro,2221833,13719,K,CAR,103,103,11,291
Graham Gano,558839,9694,K,NYG,95,95,11,230
Chad Ryland,2964074,,K,NE,85,85,14,288
Greg Joseph,2926810,13898,K,GB,78,78,10,302
Riley Patterson,2865368,15369,K,WAS,60,60,14,376
Anders Carlson,2866578,,K,GB,50,50,10,240
BAL,1903,531,DEF,BAL,238.3,238.3,11,81
NYJ,1919,505,DEF,NYJ,238,238,12,101
KC,1914,512,DEF,KC,224.6,224.6,14,140
SF,1925,530,DEF,SF,218.8,218.8,12,72
DAL,1908,516,DEF,DAL,209.7,209.7,11,84
CLE,1930,507,DEF,CLE,199.3,199.3,7,69
MIA,1915,503,DEF,MIA,198.2,198.2,12,141
PHI,1921,518,DEF,PHI,195.4,195.4,10,175
TB,1927,525,DEF,TB,186.9,186.9,7,229
MIN,1916,524,DEF,MIN,177.6,177.6,14,212
ATL,1902,526,DEF,ATL,177.5,177.5,5,241
NE,1931,504,DEF,NE,174.3,174.3,10,208
IND,1912,502,DEF,IND,173.9,173.9,14,226
BUF,1904,501,DEF,BUF,173.7,173.7,14,174
HOU,1932,532,DEF,HOU,169.2,169.2,12,185
